PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,SEASON,NUM_YRS,TARGET_4UP
Channing Frye,NYK,23,65,19,46,1572.4,802,47.7,33.3,82.5,138,236,374,53,97,30,47,200,3,0,-48,2005-06,13,1
Andrew Bogut,MIL,21,82,40,42,2348.1,768,53.3,0.0,62.9,189,384,573,192,125,49,68,259,12,0,77,2005-06,14,1
Luther Head,HOU,23,80,32,48,2310.0,707,40.3,36.1,69.9,33,233,266,215,119,89,9,169,1,0,-40,2005-06,6,1
Marvin Williams,ATL,20,79,25,54,1952.3,672,44.3,24.5,74.7,122,261,383,63,83,48,24,227,4,0,-87,2005-06,15,1
Nate Robinson,NYK,22,72,21,51,1543.7,670,40.7,39.7,75.2,56,111,167,147,114,59,1,201,0,0,-85,2005-06,11,1
Rashad McCants,MIN,21,79,31,48,1362.2,627,45.0,37.2,73.6,29,114,143,63,86,44,22,176,0,0,-111,2005-06,4,0
Salim Stoudamire,ATL,23,61,20,41,1236.1,589,41.5,38.0,90.0,12,104,116,75,82,27,3,118,0,0,-100,2005-06,3,0
Danny Granger,IND,23,78,39,39,1765.3,587,46.2,32.3,77.7,131,253,384,90,80,58,62,211,6,0,-57,2005-06,10,1
Sarunas Jasikevicius,IND,30,75,37,38,1557.3,547,39.6,36.4,91.0,19,134,153,227,116,40,4,108,1,0,50,2005-06,2,0
Joey Graham,TOR,24,80,26,54,1580.6,533,47.8,33.3,81.2,57,187,244,60,92,37,13,228,0,0,-176,2005-06,6,1
Jarrett Jack,POR,22,79,20,59,1598.8,526,44.2,26.3,80.0,18,142,160,219,102,41,2,138,0,0,-375,2005-06,13,1
Ike Diogu,GSW,22,69,26,43,1031.4,486,52.4,0.0,81.0,95,134,229,29,78,15,30,164,3,0,-78,2005-06,6,1
Ryan Gomes,BOS,23,61,26,35,1376.2,461,48.7,33.3,75.2,102,196,298,58,55,35,5,83,8,0,3,2005-06,8,1
Martell Webster,POR,19,61,11,50,1070.0,404,39.9,35.7,85.9,29,101,130,34,43,21,14,90,0,0,-245,2005-06,10,1
Francisco Garcia,SAC,24,67,36,31,1301.2,377,40.0,28.5,77.2,39,146,185,94,75,41,47,135,1,0,-31,2005-06,10,1
Johan Petro,SEA,20,68,26,42,1282.3,353,51.0,0.0,62.7,109,187,296,15,60,25,51,213,2,0,-149,2005-06,8,1
Jose Calderon,TOR,24,64,18,46,1486.7,349,42.3,16.3,84.8,30,111,141,288,101,42,4,93,2,0,-108,2005-06,14,1
David Lee,NYK,23,67,21,46,1128.5,345,59.8,0.0,57.7,108,194,302,43,51,30,20,124,4,0,-106,2005-06,12,1
Monta Ellis,GSW,20,49,16,33,886.0,334,41.5,34.1,71.2,22,83,105,78,58,32,11,69,0,0,8,2005-06,12,1
Hakim Warrick,MEM,23,68,42,26,724.0,278,44.3,0.0,66.1,43,101,144,30,56,14,21,113,0,0,-78,2005-06,8,1
Trevor Ariza,ORL,20,57,24,33,999.3,264,41.2,20.0,60.6,78,140,218,61,62,57,11,100,2,0,-11,2005-06,18,1
Trevor Ariza,NYK,20,80,33,47,1380.6,468,44.2,23.1,69.5,89,153,242,85,73,70,18,150,1,0,-26,2004-05,18,1
Orien Greene,BOS,24,80,31,49,1234.6,254,39.5,22.5,66.2,37,108,145,129,109,77,10,181,0,0,-102,2005-06,4,0
Daniel Ewing,LAC,23,66,39,27,971.2,252,38.0,28.2,78.3,23,62,85,84,57,37,6,86,0,0,-60,2005-06,2,0
Linas Kleiza,DEN,21,61,33,28,518.9,213,44.5,15.4,70.4,38,78,116,15,16,10,13,87,0,0,-25,2005-06,7,1
Alan Anderson,CHA,23,36,7,29,563.6,207,41.4,41.4,80.5,23,47,70,32,32,11,4,48,0,0,7,2005-06,8,1
James Singleton,LAC,24,59,34,25,753.2,203,51.0,50.0,78.0,63,134,197,29,28,19,21,95,3,0,-50,2005-06,5,1
Sean May,CHA,22,23,7,16,398.4,189,40.9,0.0,76.6,42,67,109,22,33,17,12,58,1,0,-22,2005-06,4,0
Gerald Green,BOS,20,32,13,19,373.7,167,47.8,30.0,78.4,10,31,41,18,22,13,4,41,0,0,-37,2005-06,12,1
Chuck Hayes,HOU,23,40,19,21,535.2,147,56.2,0.0,64.4,67,112,179,14,12,26,14,76,1,0,81,2005-06,11,1
Wayne Simien,MIA,23,43,26,17,414.3,146,48.3,0.0,88.2,38,50,88,7,24,13,1,70,0,0,-37,2005-06,2,0
Donell Taylor,WAS,23,51,27,24,465.2,140,39.0,23.5,69.8,16,37,53,45,34,30,4,47,0,0,8,2005-06,2,0
Shavlik Randolph,PHI,22,57,23,34,486.9,131,45.4,0.0,60.6,55,78,133,19,21,19,12,83,0,0,22,2005-06,8,1
Josh Powell,DAL,23,37,25,12,429.0,110,45.7,0.0,80.0,28,53,81,9,22,7,4,52,0,0,-2,2005-06,7,1
Fabricio Oberto,SAS,31,59,46,13,489.9,103,47.3,0.0,55.6,57,66,123,27,28,9,11,91,0,0,-37,2005-06,6,1
Esteban Batista,ATL,22,57,14,43,494.9,101,42.5,0.0,62.3,61,83,144,7,38,15,11,111,1,0,-8,2005-06,2,0
Travis Diener,ORL,24,23,9,14,246.0,88,42.0,43.9,83.3,4,17,21,16,10,7,0,22,0,0,-56,2005-06,5,1
Gerald Fitch,MIA,23,18,12,6,239.5,84,33.7,26.9,73.9,7,23,30,33,15,7,5,28,0,0,-6,2005-06,1,0
CJ Miles,UTA,19,23,7,16,202.8,79,36.8,25.0,75.0,18,20,38,16,9,7,2,20,0,0,-1,2005-06,16,1
Sergei Monia,SAC,23,26,9,17,343.1,77,33.3,26.5,71.4,11,41,52,19,12,7,5,41,0,0,-143,2005-06,1,0
Andrew Bynum,LAL,18,46,29,17,338.3,74,40.2,0.0,29.6,34,46,80,9,17,4,22,56,0,0,-47,2005-06,8,1
Rawle Marshall,DAL,24,23,13,10,241.3,71,40.0,33.3,75.9,8,23,31,10,15,8,7,17,0,0,-18,2005-06,2,0
Antoine Wright,NJN,22,39,24,15,370.2,70,35.8,6.7,50.0,8,22,30,12,21,4,3,42,0,0,-76,2005-06,6,1
Kevin Burleson,CHA,27,39,12,27,340.2,70,25.0,18.5,94.1,4,22,26,48,25,26,2,63,0,0,-2,2005-06,1,0
Andre Owens,UTA,25,23,8,15,210.0,69,36.5,18.8,66.7,11,10,21,8,13,5,0,25,0,0,-32,2005-06,2,0
Brandon Bass,NOK,21,29,14,15,268.4,68,40.0,0.0,63.2,18,50,68,3,11,3,7,18,0,0,-50,2005-06,12,1
Andray Blatche,WAS,19,29,16,13,175.5,65,38.8,23.1,83.3,12,26,38,10,12,5,7,36,0,0,-10,2005-06,9,1
Bracey Wright,MIN,21,7,1,6,135.1,62,41.2,35.3,87.5,3,15,18,5,8,1,0,8,0,0,-10,2005-06,2,0
Jason Maxiell,DET,23,26,20,6,158.8,60,42.6,0.0,33.3,12,16,28,3,11,4,5,14,1,0,-98,2005-06,10,1
Ronnie Price,SAC,23,29,15,14,150.0,60,36.2,22.2,100.0,5,10,15,11,10,6,0,10,0,0,-33,2005-06,12,1
Stephen Graham,CLE,24,22,10,12,174.8,58,38.9,20.0,93.3,5,22,27,7,13,5,2,31,0,0,10,2005-06,6,1
Lou Williams,PHI,19,30,14,16,144.7,56,44.2,22.2,61.5,3,16,19,10,13,5,0,13,0,0,-24,2005-06,17,1
Will Bynum,GSW,23,15,7,8,162.3,54,40.4,22.2,62.5,3,9,12,19,14,7,0,10,0,0,-56,2005-06,8,1
Anthony Grundy,ATL,27,12,5,7,108.0,52,50.0,33.3,64.3,1,16,17,9,9,7,0,14,0,0,29,2005-06,1,0
Lawrence Roberts,MEM,23,33,23,10,180.8,51,45.5,0.0,47.8,26,23,49,5,5,8,2,30,1,0,4,2005-06,2,0
